URL,Class,All Four Icons,Can Manipulate Colour,Optimised to Four Icons,Minified,Transferred Size (kb),Back: Exp 01,Back: Exp 02,Back: Exp 03,Back: Exp 04,Back: Exp 05,Back: Exp 06,Back: Exp 07,Back: Exp 08,Back: Exp 09,Back: Exp 10,Back: Exp 11,Back: Exp 12,Back: Exp 13,Back: Exp 14,Back: Exp 15,Back: Exp 16,Back: Exp 17,Back: Exp 18,Back: Exp 19,Back: Exp 20,Front: Exp 01,Front: Exp 02,Front: Exp 03,Front: Exp 04,Front: Exp 05,Front: Exp 06,Front: Exp 07,Front: Exp 08,Front: Exp 09,Front: Exp 10,Front: Exp 11,Front: Exp 12,Front: Exp 13,Front: Exp 14,Front: Exp 15,Front: Exp 16,Front: Exp 17,Front: Exp 18,Front: Exp 19,Front: Exp 20,Back: Avg,Front: Avg
http://www.localhost.com/jbuckley_me/icons/css/css.html,CSS,No,Yes,No,No,54.4,635,581,613,588,638,630,577,548,628,573,670,618,591,594,556,912,621,538,677,662,49,46,53,35,50,44,43,30,52,50,44,57,31,66,30,51,53,46,31,49,622.5,45.5
http://www.localhost.com/jbuckley_me/icons/css/css-4.html,CSS,No,Yes,Yes,No,4.4,638,699,618,670,631,795,610,724,584,523,649,644,607,658,608,782,663,578,518,547,40,55,40,52,27,52,27,42,31,28,37,41,43,52,25,38,26,37,25,35,637.3,37.65
http://www.localhost.com/jbuckley_me/icons/css/css-min.html,CSS,No,Yes,No,Yes,43.9,574,643,537,635,588,643,535,597,663,613,618,589,624,533,559,479,799,611,598,588,73,44,30,51,29,43,54,61,50,39,65,50,39,51,30,30,42,59,50,36,601.3,46.3
http://www.localhost.com/jbuckley_me/icons/css/css-4-min.html,CSS,No,Yes,Yes,Yes,4.4,627,638,551,546,591,579,735,654,658,670,629,595,554,661,580,567,709,620,622,556,28,42,32,54,51,45,31,37,35,49,64,26,26,28,30,30,40,42,45,35,617.1,38.5
http://www.localhost.com/jbuckley_me/icons/fa-font/fa-font.html,FA-Font,Yes,Yes,No,No,136.0,588,610,593,643,601,661,978,568,637,620,605,562,645,623,582,550,602,573,607,555,30,32,53,69,62,58,63,69,52,52,52,32,35,29,35,43,49,59,60,44,620.15,48.9
http://www.localhost.com/jbuckley_me/icons/fa-font/fa-font-4.html,FA-Font,Yes,Yes,Yes,No,6.1,610,639,603,564,518,513,576,637,571,632,584,562,571,576,608,552,512,1317,605,599,35,62,51,41,26,46,54,60,32,25,59,26,48,49,55,26,26,33,26,45,617.45,41.25
http://www.localhost.com/jbuckley_me/icons/fa-font/fa-font-min.html,FA-Font,Yes,Yes,No,Yes,135.0,650,612,597,522,668,581,630,750,662,624,585,619,533,697,612,598,619,732,586,595,45,45,41,58,58,52,54,66,57,53,65,37,50,54,52,46,68,54,57,30,623.6,52.1
http://www.localhost.com/jbuckley_me/icons/fa-font/fa-font-4-min.html,FA-Font,Yes,Yes,Yes,Yes,5.1,625,636,601,655,641,673,547,952,614,564,631,724,573,573,577,608,584,666,681,610,27,38,25,31,58,50,48,29,52,25,41,45,42,44,26,43,56,56,38,61,636.75,41.75
http://www.localhost.com/jbuckley_me/icons/fa-svg/fa-svg.html,FA-SVG,Yes,Yes,No,No,684.0,665,632,617,626,564,586,612,627,564,624,561,640,584,538,570,576,575,599,876,548,101,101,114,112,114,95,77,120,118,86,82,111,87,79,72,113,108,95,88,87,609.2,98
http://www.localhost.com/jbuckley_me/icons/fa-svg/fa-svg-4.html,FA-SVG,Yes,Yes,Yes,No,66.6,550,574,546,607,627,596,627,579,741,663,617,643,622,658,593,610,604,529,1266,530,72,64,53,64,57,53,79,58,77,64,98,62,53,60,63,52,61,48,95,78,639.1,65.55
http://www.localhost.com/jbuckley_me/icons/fa-svg/fa-svg-min.html,FA-SVG,Yes,Yes,No,Yes,646.0,574,557,619,554,588,619,617,606,802,567,601,613,517,603,617,632,972,626,621,633,109,113,120,107,107,111,95,67,103,83,83,84,98,106,99,110,102,106,107,101,626.9,100.55
http://www.localhost.com/jbuckley_me/icons/fa-svg/fa-svg-4-min.html,FA-SVG,Yes,Yes,Yes,Yes,36.7,656,539,616,577,525,574,1090,665,629,640,589,617,614,589,569,554,804,638,625,619,66,50,62,52,59,48,64,64,68,65,67,73,87,61,82,48,48,88,64,38,636.45,62.7
http://www.localhost.com/jbuckley_me/icons/svg/svg-img.html,SVG-Img,Yes,No,Yes,N/A,6.3,695,611,656,663,670,628,752,614,630,686,654,684,669,701,523,632,946,707,672,632,46,62,85,65,48,62,78,61,80,72,70,77,79,70,47,92,65,69,59,59,671.25,67.3
http://www.localhost.com/jbuckley_me/icons/svg/svg-inline.html,SVG-Inline,Yes,Yes,Yes,N/A,5.7,581,579,565,565,564,600,526,557,539,554,478,577,623,606,518,656,645,750,594,626,48,24,42,23,46,41,24,23,25,47,25,24,23,63,24,36,24,23,25,41,585.15,32.55
http://www.localhost.com/jbuckley_me/icons/png/png-img.html,PNG,Yes,No,Yes,N/A,20.2,642,575,600,614,649,575,576,831,582,519,623,555,542,572,586,609,562,718,593,551,73,70,55,76,62,62,62,56,71,77,62,63,66,88,69,59,73,63,44,50,603.7,65.05
http://www.localhost.com/jbuckley_me/icons/base64/base64.html,Base64,Yes,No,Yes,N/A,7.0,630,593,568,581,614,603,499,667,616,567,667,576,660,647,623,612,509,945,590,614,41,28,27,27,60,46,28,55,46,44,48,39,49,38,36,53,28,27,40,30,619.05,39.5
